zip	lat	lon	state	county	city
00501	40.81308	-73.04639	NY	Suffolk	Holtsville
00544	40.81322	-73.04929	NY	Suffolk	Holtsville
00601	18.18027	-66.75266	PR	Adjuntas	Adjuntas
00602	18.36075	-67.17541	PR	Aguada	Aguada
00603	18.45744	-67.12225	PR	Aguadilla	Aguadilla
00604	18.50529	-67.13590	PR	Aguadilla	Aguadilla
00605	18.43615	-67.15135	PR	Aguadilla	Aguadilla
00606	18.16585	-66.93716	PR	Maricao	Maricao
00610	18.29110	-67.12243	PR	Añasco	Anasco
00611	18.27698	-66.80688	PR	Utuado	Angeles
00612	18.41283	-66.70510	PR	Arecibo	Arecibo
00613	18.47274	-66.71928	PR	Arecibo	Arecibo
00614	18.45690	-66.73589	PR	Arecibo	Arecibo
00616	18.41878	-66.66790	PR	Arecibo	Bajadero
00617	18.44598	-66.56006	PR	Barceloneta	Barceloneta
00622	17.98892	-67.15660	PR	Cabo Rojo	Boqueron
00623	18.08429	-67.15336	PR	Cabo Rojo	Cabo Rojo
00624	18.05905	-66.71932	PR	Peñuelas	Penuelas
00627	18.41905	-66.86037	PR	Camuy	Camuy
00631	18.18520	-66.83169	PR	Lares	Castaner
00636	18.16354	-67.08014	PR	San Germán	Rosario
00637	18.08100	-66.94659	PR	Sabana Grande	Sabana Grande
00638	18.28462	-66.51370	PR	Ciales	Ciales
00641	18.26742	-66.70212	PR	Utuado	Utuado
00646	18.43251	-66.28429	PR	Dorado	Dorado
00647	17.96667	-66.94266	PR	Guánica	Ensenada
00650	18.34487	-66.58347	PR	Florida	Florida
00652	18.45614	-66.60194	PR	Arecibo	Garrochales
00653	17.99413	-66.90266	PR	Guánica	Guanica
00656	18.04186	-66.79123	PR	Guayanilla	Guayanilla
00659	18.41036	-66.79691	PR	Hatillo	Hatillo
00660	18.13412	-67.11399	PR	Hormigueros	Hormigueros
00662	18.46622	-67.01508	PR	Isabela	Isabela
00664	18.21064	-66.59066	PR	Jayuya	Jayuya
00667	18.01246	-67.04170	PR	Lajas	Lajas
00669	18.27019	-66.86727	PR	Lares	Lares
00670	18.23782	-66.98852	PR	Las Marías	Las Marias
00674	18.42229	-66.48910	PR	Manatí	Manati
00676	18.37897	-67.08098	PR	Moca	Moca
00677	18.33535	-67.23155	PR	Rincón	Rincon
00678	18.42949	-66.93016	PR	Quebradillas	Quebradillas
00680	18.16307	-67.36122	PR	Mayagüez	Mayaguez
00681	18.20431	-67.14469	PR	Mayagüez	Mayaguez
00682	18.22415	-67.15309	PR	Mayagüez	Mayaguez
00683	18.10926	-67.03803	PR	San Germán	San German
00685	18.33656	-66.97518	PR	San Sebastián	San Sebastian
00687	18.31707	-66.42029	PR	Morovis	Morovis
00688	18.38070	-66.62496	PR	Arecibo	Sabana Hoyos
00690	18.49363	-67.09734	PR	Aguadilla	San Antonio
00692	18.40905	-66.33768	PR	Vega Alta	Vega Alta
00693	18.42633	-66.39811	PR	Vega Baja	Vega Baja
00694	18.48327	-66.39269	PR	Vega Baja	Vega Baja
00698	18.07274	-66.85519	PR	Yauco	Yauco
00703	18.24739	-66.13143	PR	Aguas Buenas	Aguas Buenas
00704	17.97442	-66.22888	PR	Salinas	Aguirre
00705	18.12940	-66.26653	PR	Aibonito	Aibonito
00707	18.01752	-65.92127	PR	Maunabo	Maunabo
00714	17.99810	-66.05635	PR	Arroyo	Arroyo
00715	17.99738	-66.56104	PR	Ponce	Mercedita
00716	17.99942	-66.59868	PR	Ponce	Ponce
00717	18.00272	-66.61146	PR	Ponce	Ponce
00718	18.23145	-65.76067	PR	Naguabo	Naguabo
00719	18.28879	-66.25316	PR	Naranjito	Naranjito
00720	18.21559	-66.42421	PR	Orocovis	Orocovis
00721	18.37180	-65.77451	PR	Río Grande	Palmer
00723	18.03139	-66.01122	PR	Patillas	Patillas
00725	18.22052	-66.03962	PR	Caguas	Caguas
00726	18.23305	-66.03604	PR	Caguas	Caguas
00727	18.21142	-66.07374	PR	Caguas	Caguas
00728	18.00697	-66.65995	PR	Ponce	Ponce
00729	18.33524	-65.88677	PR	Canóvanas	Canovanas
00730	18.03256	-66.61384	PR	Ponce	Ponce
00731	18.09914	-66.63279	PR	Ponce	Ponce
00732	18.03611	-66.61143	PR	Ponce	Ponce
00733	18.02075	-66.62013	PR	Ponce	Ponce
00734	17.98672	-66.60898	PR	Ponce	Ponce
00735	18.25250	-65.67534	PR	Ceiba	Ceiba
00736	18.10736	-66.14994	PR	Cayey	Cayey
00737	18.11542	-66.16103	PR	Cayey	Cayey
00738	18.31793	-65.66793	PR	Fajardo	Fajardo
00739	18.17543	-66.16198	PR	Cidra	Cidra
00740	18.33251	-65.63419	PR	Fajardo	Puerto Real
00741	18.16569	-65.75506	PR	Humacao	Punta Santiago
00742	18.23894	-65.62743	PR	Ceiba	Roosevelt Roads
00744	18.21773	-65.79561	PR	Naguabo	Rio Blanco
00745	18.34660	-65.81382	PR	Río Grande	Rio Grande
00751	18.01205	-66.25871	PR	Salinas	Salinas
00754	18.14470	-65.97565	PR	San Lorenzo	San Lorenzo
00757	17.99330	-66.39056	PR	Santa Isabel	Santa Isabel
00765	18.12365	-65.43013	PR	Vieques	Vieques
00766	18.13039	-66.47570	PR	Villalba	Villalba
00767	18.07033	-65.89618	PR	Yabucoa	Yabucoa
00769	18.09459	-66.36070	PR	Coamo	Coamo
00771	18.18797	-65.86916	PR	Las Piedras	Las Piedras
00772	18.43048	-65.90377	PR	Loíza	Loiza
00773	18.34073	-65.72756	PR	Luquillo	Luquillo
00775	18.31387	-65.28618	PR	Culebra	Culebra
00777	18.22365	-65.90904	PR	Juncos	Juncos
00778	18.26319	-65.97938	PR	Gurabo	Gurabo
00780	18.09998	-66.57032	PR	Ponce	Coto Laurel
00782	18.22501	-66.22452	PR	Comerío	Comerio
00783	18.30348	-66.32851	PR	Corozal	Corozal
00784	18.00558	-66.13651	PR	Guayama	Guayama
00785	17.97890	-66.11023	PR	Guayama	Guayama
00786	18.13570	-66.22881	PR	Aibonito	La Plata
00791	18.14391	-65.81398	PR	Humacao	Humacao
00792	18.15130	-65.82193	PR	Humacao	Humacao
00794	18.19934	-66.31179	PR	Barranquitas	Barranquitas
00795	18.05128	-66.49485	PR	Juana Díaz	Juana Diaz
00801	18.35000	-64.93333	VI	St. Thomas	St Thomas
00802	18.34349	-64.92870	VI	St. Thomas	St Thomas
00803	18.35033	-64.93557	VI	St. Thomas	St Thomas
00804	18.34900	-64.93212	VI	St. Thomas	St Thomas
00805	18.35048	-64.93512	VI	St. Thomas	St Thomas
00820	17.73880	-64.70695	VI	St. Croix	Christiansted
00821	17.74607	-64.70655	VI	St. Croix	Christiansted
00822	17.74481	-64.70974	VI	St. Croix	Christiansted
00823	17.74423	-64.70827	VI	St. Croix	Christiansted
00824	17.74518	-64.70427	VI	St. Croix	Christiansted
00830	18.33857	-64.73802	VI	St. John	St John
00831	18.33347	-64.79296	VI	St. John	St John
00840	17.72649	-64.84717	VI	St. Croix	Frederiksted
00841	17.71509	-64.88339	VI	St. Croix	Frederiksted
00850	17.72763	-64.79122	VI	St. Croix	Kingshill
00851	17.74757	-64.78737	VI	St. Croix	Kingshill
00901	18.46478	-66.10277	PR	San Juan	San Juan
00902	18.44628	-66.09828	PR	San Juan	San Juan
00906	18.46446	-66.09499	PR	San Juan	San Juan
00907	18.45287	-66.08381	PR	San Juan	San Juan
00908	18.44416	-66.07947	PR	San Juan	San Juan
00909	18.44131	-66.06866	PR	San Juan	San Juan
00910	18.44297	-66.07152	PR	San Juan	San Juan
00911	18.45133	-66.05636	PR	San Juan	San Juan
00912	18.44503	-66.05995	PR	San Juan	San Juan
00913	18.45024	-66.04275	PR	San Juan	San Juan
00914	18.44829	-66.01671	PR	Carolina	San Juan
00915	18.43673	-66.04576	PR	San Juan	San Juan
00916	18.37652	-66.16272	PR	Bayamón	San Juan
00917	18.42080	-66.04989	PR	San Juan	San Juan
00918	18.42139	-66.06774	PR	San Juan	San Juan
00919	18.41100	-66.06491	PR	San Juan	San Juan
00920	18.41904	-66.09023	PR	San Juan	San Juan
00921	18.39206	-66.08710	PR	San Juan	San Juan
00922	18.40998	-66.09255	PR	San Juan	San Juan
00923	18.41146	-66.03715	PR	San Juan	San Juan
00924	18.39987	-66.01344	PR	San Juan	San Juan
00925	18.40028	-66.05058	PR	San Juan	San Juan
00926	18.34691	-66.05434	PR	San Juan	San Juan
00927	18.38884	-66.07149	PR	San Juan	San Juan
00928	18.39317	-66.06174	PR	San Juan	San Juan
00929	18.40199	-66.02323	PR	San Juan	San Juan
00930	18.40533	-66.06238	PR	San Juan	San Juan
00931	18.40983	-66.06296	PR	San Juan	San Juan
00933	18.47020	-66.10791	PR	San Juan	San Juan
00934	18.41372	-66.11998	PR	Guaynabo	Fort Buchanan
00935	18.41048	-66.06561	PR	San Juan	San Juan
00936	18.38521	-66.06312	PR	San Juan	San Juan
00937	18.41086	-66.06383	PR	San Juan	San Juan
00939	18.40829	-66.06467	PR	San Juan	San Juan
00940	18.41089	-66.06508	PR	San Juan	San Juan
